Company,Tier,Verified Status,LCA Filing Data (latest verified),Relevant Titles & Salary Data,Wage-Level / Lottery Notes,California Presence,Top-20 Priority Rank,Notes / Flags
Ameresco,I - Commissioning/energy services,Verified moderate (per research recommendations),Not itemized in detail,Mech/energy engineer sponsorship noted,Unknown,National,15,Verify current counts
NORESCO (Carrier),I - Commissioning/energy services,Unverified,Not itemized,ESCO performance contracting,Unknown,National,,Verify
Veolia North America,I - Commissioning/energy services,Unverified this cycle,Not itemized,Energy/utility services,Unknown,National,,Verify
Enel North America,I - Commissioning/energy services,Unverified this cycle,Not itemized,Energy services/demand response,Unknown,SF office,,Verify
Willow,J - Smart-building software,Minimal/no filing history - startup risk,Not itemized,Digital twins,Unknown,Remote/US offices,,Promote if >=3 certified LCAs appear in last 2 years
KODE Labs,J - Smart-building software,Minimal/no filing history - startup risk,Not itemized,Building ops platform (Haystack-aligned),Unknown,No (Detroit),,Same benchmark
Mapped,J - Smart-building software,Minimal/no filing history - startup risk,Not itemized,Building data infrastructure,Unknown,Yes (LA),,Same benchmark
75F,J - Smart-building software,Minimal/no filing history - startup risk,Not itemized,Smart HVAC controls,Unknown,No (Minneapolis),,Same benchmark
PassiveLogic,J - Smart-building software,Minimal/no filing history - startup risk,Not itemized,Autonomous building controls,Unknown,No (Salt Lake City),,Same benchmark
Verdigris Technologies,J - Smart-building software,Minimal/no filing history - startup risk,Not itemized,Building energy AI,Unknown,Yes (Bay Area),,Same benchmark
Vertiv,K - Data center ecosystem,Unverified this cycle,Not itemized,DC cooling/power equipment,Unknown,No (Columbus OH),,Verify
Munters,K - Data center ecosystem,Unverified,Not itemized,DC/industrial cooling,Unknown,"No (TX, VA)",,Verify
Eaton,K - Data center ecosystem,CAUTION - some no-sponsorship postings,Postings state 'will not consider applicants for immigration sponsorship' for certain roles,Power management/DC infrastructure,Unknown,National,,Check each posting's sponsorship language
Vantage Data Centers,K - Data center ecosystem,Unverified,Not itemized,Hyperscale colo dev/ops,Level II+ wages typical,Yes (Santa Clara),,Verify
Aligned Data Centers,K - Data center ecosystem,Unverified,Not itemized,"Colo dev, advanced cooling",Level II+ typical,No (Dallas),,Verify
STACK Infrastructure,K - Data center ecosystem,Unverified,Not itemized,Colo dev/ops,Level II+ typical,No (Denver),,Verify
NTT Global Data Centers,K - Data center ecosystem,Unverified (Japanese parent),Not itemized,Colo dev/ops,Unknown,Yes (Sacramento),,Verify
CyrusOne,K - Data center ecosystem,Unverified,Not itemized,Colo dev/ops,Unknown,No (Dallas),,Verify
GlobalFoundries,L - Semiconductor ecosystem,Likely strong (unverified this cycle),Documented large sponsor,Fab facilities engineering,Level II+,"No (Malta NY, Burlington VT)",,Verify entities
Texas Instruments,L - Semiconductor ecosystem,Likely strong (unverified this cycle),Documented large sponsor,Fab facilities (major buildout),Level II+,"No (TX, UT)",,Verify
Applied Materials,L - Semiconductor ecosystem,Likely strong (unverified this cycle),Documented large high-wage sponsor,Facilities/equipment engineering,Level II-III,Yes (Santa Clara),18,Verify titles
ASML US,L - Semiconductor ecosystem,Likely strong (unverified this cycle),Documented large sponsor (Dutch parent),Equipment engineering/facilities,Level II-III,Yes (San Diego),,Verify
Wolfspeed,L - Semiconductor ecosystem,Unverified,Not itemized,SiC fab facilities,Unknown,"No (NC, NY)",,Verify
Southern California Edison,M - Utilities,Likely moderate (unverified this cycle),Not itemized,Data-science/software/power-systems skew,Unknown,Yes (Rosemead CA),,Verify role-level sponsorship
PG&E,M - Utilities,Likely moderate (named sponsor),Not itemized,Grid/energy programs,Unknown,Yes (Oakland CA),,Verify
Sempra / SDG&E / SoCalGas,M - Utilities,Unverified,Not itemized,Grid/decarbonization,Unknown,"Yes (San Diego, LA)",,Verify
National Grid US,M - Utilities,Likely moderate (named sponsor; UK parent),Not itemized,Grid/clean energy,Unknown,No (Northeast),,Verify
Xcel Energy,M - Utilities,Likely moderate (unverified),Not itemized,Grid/renewables integration,Unknown,"No (MN, CO)",,Verify
Dominion Energy,M - Utilities,Likely moderate (named sponsor),Not itemized,Grid/offshore wind,Unknown,No (Richmond VA),,Verify
Tesla (Energy/Facilities),N - Renewables/cleantech,Likely strong (unverified this cycle),Documented top national filer,Storage/factory facilities,High wages,"Yes (Fremont, Palo Alto)",19,Verify facilities-title filings
First Solar,N - Renewables/cleantech,Likely strong (unverified this cycle),Not itemized,PV manufacturing process/facilities,Unknown,"No (Tempe AZ, OH)",19,Verify
Fluence,N - Renewables/cleantech,Likely strong (unverified this cycle),Not itemized,Grid-scale storage,Unknown,"No (Arlington VA, Houston)",19,Verify
Nextracker,N - Renewables/cleantech,Likely strong (unverified this cycle),Not itemized,Solar trackers,Unknown,Yes (Fremont),19,Verify
Enphase Energy,N - Renewables/cleantech,Likely strong (unverified this cycle),Not itemized,Solar/storage electronics,High wages,Yes (Fremont),,Verify
Pattern Energy,N - Renewables/cleantech,Unverified (smaller developer),Not itemized,Wind/solar/transmission dev,Unknown,Yes (SF),,Smaller developers file less consistently
Arevon Energy,N - Renewables/cleantech,Unverified (smaller developer),Not itemized,Solar/storage IPP,Unknown,No (Scottsdale),,Verify
Intersect Power,N - Renewables/cleantech,Unverified (smaller developer),Not itemized,Solar/storage/H2,Unknown,Yes (SF Bay Area),,Verify
SB Energy,N - Renewables/cleantech,Unverified (smaller developer),Not itemized,Utility-scale solar/storage,Unknown,Yes (Redwood City),,Verify
RWE Clean Energy,N - Renewables/cleantech,Unverified (German parent),Not itemized,Wind/solar/storage,Unknown,"No (Austin, Chicago, NY)",,Verify
Recurrent Energy,N - Renewables/cleantech,Unverified,Not itemized,Utility-scale solar/storage,Unknown,Yes (SF),,Verify
Avantus,N - Renewables/cleantech,Unverified,Not itemized,Solar/storage dev,Unknown,Yes (San Diego),,Verify
ERM,O - Climate/ESG/LCA,Likely moderate (larger firm; unverified this cycle),Not itemized,Environmental/climate consulting,Unknown,Yes (CA offices),,Verify
Sphera,O - Climate/ESG/LCA,Likely moderate (unverified),Not itemized,ESG/LCA software - maker of GaBi (tool on his resume),Unknown,No (Chicago/remote),,Direct skills tie; verify
Anthesis Group,O - Climate/ESG/LCA,Unverified,Not itemized,Sustainability consulting,Unknown,Yes (CA offices),,Verify
Watershed,O - Climate/ESG/LCA,Known tech-startup sponsor (unverified counts),Not itemized,Carbon accounting software,High wages,Yes (SF),,Verify
Persefoni,O - Climate/ESG/LCA,Startup risk - unverified,Not itemized,Carbon accounting software,Unknown,No (Tempe/remote),,Verify
Steven Winter Associates,O - Climate/ESG/LCA,Unverified (boutique),Not itemized,Building sustainability consulting,Likely Level I-II,"No (NY, DC)",,Boutiques rarely sponsor
Stok,O - Climate/ESG/LCA,Unverified (boutique),Not itemized,High-performance RE consulting,Unknown,Yes (SF),,Boutiques rarely sponsor
Verdical Group,O - Climate/ESG/LCA,Unverified (boutique),Not itemized,Green building consulting,Unknown,Yes (LA),,Boutiques rarely sponsor
Brightworks Sustainability,O - Climate/ESG/LCA,Unverified (boutique),Not itemized,Sustainability consulting,Unknown,Yes (SF; Portland),,Boutiques rarely sponsor
JLL,P - Real estate/corporate facilities,Likely moderate-strong (unverified this cycle),Large sponsor,Facilities/engineering/data analytics,Level II+,National incl. CA,17,Verify facilities-title filings
CBRE,P - Real estate/corporate facilities,Likely moderate-strong (unverified this cycle),Large sponsor,Facilities engineering/sustainability,Level II+,National incl. CA,17,Verify
Prologis,P - Real estate/corporate facilities,Unverified,Not itemized,Logistics RE solar/storage/energy,Unknown,Yes (SF),,Verify
Apple (RE&D/Environment),P - Real estate/corporate facilities,Very high-wage sponsor (narrow facilities fit),Top national filer,Facilities/energy/environment roles limited,Level III+,Yes (Cupertino),,Excellent lottery odds if role lands; few openings
NVIDIA (Facilities/Sustainability),P - Real estate/corporate facilities,Very high-wage sponsor (narrow facilities fit),Top national filer,Campus/DC facilities,Level III+,Yes (Santa Clara),,Same as Apple
Rivian,P - Real estate/corporate facilities,Likely moderate (unverified this cycle),Not itemized,EV plant facilities/sustainability,Unknown,Yes (Irvine HQ),,Local HQ; verify facilities-title filings
Lucid Motors,P - Real estate/corporate facilities,Likely moderate (unverified this cycle),Not itemized,EV plant facilities,Unknown,Yes (Newark CA),,Verify
Oak Ridge National Laboratory (Building Technologies),Q - Additional cap-exempt (NO LOTTERY),Cap-exempt by status,Not itemized,Building envelope/equipment research,N/A,No (Oak Ridge TN),10,Building Technologies Research & Integration Center is a strong match; confirm non-citizen eligibility
Argonne National Laboratory,Q - Additional cap-exempt (NO LOTTERY),Cap-exempt by status,Not itemized,Energy systems & buildings research,N/A,No (Lemont IL),14,Same citizenship caveat
EPRI,Q - Additional cap-exempt (NO LOTTERY),Cap-exempt (nonprofit research - likely),Not itemized,Electric power research - buildings/grid,N/A,Yes (Palo Alto),,Confirm cap-exempt classification for specific role
Willdan Energy Solutions,S - Supplementary reverse-search finds,Verified strong - TOP NEW FIND,39 LCAs FY2022-24; 8/8 USCIS approved FY2024,"Mechanical Engineers (25), Energy Engineers (22); FY2025 median $97,552 (90th pct $137,259)",Level II achievable,Yes (Anaheim CA HQ),2,"Large (~1,200+ employee) CA energy-efficiency consultancy mapping directly to his profile; top private-sector priority"
TRC Engineers / TRC Environmental,S - Supplementary reverse-search finds,Verified moderate (commissioning-title leader),Leading Commissioning Engineer sponsor,"Commissioning Engineer ~$87,000-$90,000 median",Level I-II,Yes (CA offices),,Good title fit; moderate wages
BranchPattern,S - Supplementary reverse-search finds,Verified niche filer,Filed 'Building Performance Modeler' LCA FY2024,Building performance modeling,Unknown,Limited,,Exact-title evidence; small firm
Leidos Engineering,S - Supplementary reverse-search finds,Verified (energy engineer title),"Energy Engineer filings ~$115,000",Energy/infrastructure consulting,Level II+,National,,Some federal roles citizenship-restricted
WAP Sustainability Consulting,S - Supplementary reverse-search finds,Verified repeat sponsor (sustainability titles),Repeat Sustainability Analyst/Engineer filings,"~$85,000, Level I-II",Level I-II,No (TN),,Direct LCA/SimaPro skills tie; low wage level hurts lottery odds
